nam1	gbrbin	tsibin	count	mb	mb_scaled	nam2	mb_scaled_na	gbr_binmean	tsi_binmean
giant	[0,0.0459]	[0,0.0459]	35868	-0.002740322850451656	-0.33370339375209496	beta~GIANT	-0.33370339375209496	0.02	0.02
giant	[0,0.0459]	(0.0459,0.0618]	11979	-0.0018641622839969947	-0.21305598245867488	beta~GIANT	-0.21305598245867488	0.02	0.05
giant	[0,0.0459]	(0.0618,0.0765]	15842	-0.0021337078651685396	-0.2501724401480659	beta~GIANT	-0.2501724401480659	0.02	0.07
giant	[0,0.0459]	(0.0765,0.0899]	7571	-0.0026332320697397965	-0.31895698086734464	beta~GIANT	-0.31895698086734464	0.02	0.08
giant	[0,0.0459]	(0.0899,0.101]	5212	-0.003124731389102072	-0.38663649396559246	beta~GIANT	-0.38663649396559246	0.02	0.1
giant	[0,0.0459]	(0.101,0.112]	4124	-0.001407129000969932	-0.15012244654839213	beta~GIANT	-0.15012244654839213	0.02	0.11
giant	[0,0.0459]	(0.112,0.129]	1736	-0.0015891705069124424	-0.17518958296242992	beta~GIANT	-0.17518958296242992	0.02	0.12
giant	[0,0.0459]	(0.129,0.143]	729	-0.0021113854595336077	-0.24709864231145034	beta~GIANT	-0.24709864231145034	0.02	0.14
giant	[0,0.0459]	(0.143,0.157]	253	-0.0019478260869565218	-0.2245764977985444	beta~GIANT	NA	0.02	0.15
giant	[0,0.0459]	(0.157,0.169]	146	-0.004326027397260274	-0.5520550931703836	beta~GIANT	NA	0.02	0.16
giant	[0,0.0459]	(0.169,0.185]	49	-7.306122448979592e-4	-0.05696601102541858	beta~GIANT	NA	0.02	0.18
giant	[0,0.0459]	(0.185,0.202]	28	-0.009928571428571429	-1.3235260539900635	beta~GIANT	NA	0.02	0.19
giant	[0,0.0459]	(0.202,0.219]	54	-0.003501851851851852	-0.4385660252850005	beta~GIANT	NA	0.02	0.21
giant	[0,0.0459]	(0.219,0.23]	10	-0.02112	-2.864587062112877	beta~GIANT	NA	0.02	0.22
giant	(0.0459,0.0618]	[0,0.0459]	11068	-7.646910010842067e-4	-0.06165865969209779	beta~GIANT	-0.06165865969209779	0.05	0.02
giant	(0.0459,0.0618]	(0.0459,0.0618]	21517	-0.0011275688990100851	-0.1116269881886767	beta~GIANT	-0.1116269881886767	0.05	0.05
giant	(0.0459,0.0618]	(0.0618,0.0765]	18721	-0.0012585492227979273	-0.12966299391685152	beta~GIANT	-0.12966299391685152	0.05	0.07
giant	(0.0459,0.0618]	(0.0765,0.0899]	9152	-0.0013779611013986014	-0.14610602340532935	beta~GIANT	-0.14610602340532935	0.05	0.08
giant	(0.0459,0.0618]	(0.0899,0.101]	7070	-0.0013754738330975956	-0.14576352627272862	beta~GIANT	-0.14576352627272862	0.05	0.1
giant	(0.0459,0.0618]	(0.101,0.112]	7258	-0.0017827500688895011	-0.20184551102633563	beta~GIANT	-0.20184551102633563	0.05	0.11
giant	(0.0459,0.0618]	(0.112,0.129]	3876	-0.0021600103199174406	-0.2537942912078071	beta~GIANT	-0.2537942912078071	0.05	0.12
giant	(0.0459,0.0618]	(0.129,0.143]	2212	-0.0021416817359855332	-0.2512704430814224	beta~GIANT	-0.2512704430814224	0.05	0.14
giant	(0.0459,0.0618]	(0.143,0.157]	859	-0.00319685681024447	-0.3965681727952951	beta~GIANT	-0.3965681727952951	0.05	0.15
giant	(0.0459,0.0618]	(0.157,0.169]	520	-0.00309	-0.3818539776709535	beta~GIANT	-0.3818539776709535	0.05	0.16
giant	(0.0459,0.0618]	(0.169,0.185]	285	-0.003807719298245614	-0.48068400801464883	beta~GIANT	NA	0.05	0.18
giant	(0.0459,0.0618]	(0.185,0.202]	120	-0.0017908333333333333	-0.20295857747475468	beta~GIANT	NA	0.05	0.19
giant	(0.0459,0.0618]	(0.202,0.219]	34	-0.0023352941176470587	-0.2779308904196734	beta~GIANT	NA	0.05	0.21
giant	(0.0459,0.0618]	(0.219,0.23]	25	-0.012104	-1.6230828197763056	beta~GIANT	NA	0.05	0.22
giant	(0.0459,0.0618]	(0.23,0.25]	14	-0.010571428571428572	-1.412047556881979	beta~GIANT	NA	0.05	0.24
giant	(0.0459,0.0618]	(0.25,0.265]	1	-0.0052	-0.6724012216073072	beta~GIANT	NA	0.05	0.26
giant	(0.0459,0.0618]	(0.281,0.298]	2	-0.025	-3.398863510678305	beta~GIANT	NA	0.05	0.29
giant	(0.0459,0.0618]	(0.298,0.316]	1	-0.025	-3.398863510678305	beta~GIANT	NA	0.05	0.31
giant	(0.0618,0.0765]	[0,0.0459]	10396	-2.1210080800307805e-5	0.040718748984561334	beta~GIANT	0.040718748984561334	0.07	0.02
giant	(0.0618,0.0765]	(0.0459,0.0618]	12245	-0.0010393058391180074	-0.09947315463747645	beta~GIANT	-0.09947315463747645	0.07	0.05
giant	(0.0618,0.0765]	(0.0618,0.0765]	12767	-7.45633273282682e-4	-0.059034408370570654	beta~GIANT	-0.059034408370570654	0.07	0.07
giant	(0.0618,0.0765]	(0.0765,0.0899]	7286	-9.260774087290694e-4	-0.08388158668262091	beta~GIANT	-0.08388158668262091	0.07	0.08
giant	(0.0618,0.0765]	(0.0899,0.101]	6347	-0.0014713092799747913	-0.15896007838722062	beta~GIANT	-0.15896007838722062	0.07	0.1
giant	(0.0618,0.0765]	(0.101,0.112]	6884	-9.201045903544451e-4	-0.08305912890191972	beta~GIANT	-0.08305912890191972	0.07	0.11
giant	(0.0618,0.0765]	(0.112,0.129]	4406	-0.00141713572401271	-0.15150037346825637	beta~GIANT	-0.15150037346825637	0.07	0.12
giant	(0.0618,0.0765]	(0.129,0.143]	2721	-9.603822124219037e-4	-0.08860536211709041	beta~GIANT	-0.08860536211709041	0.07	0.14
giant	(0.0618,0.0765]	(0.143,0.157]	1137	-0.0016949868073878628	-0.1897604997712804	beta~GIANT	-0.1897604997712804	0.07	0.15
giant	(0.0618,0.0765]	(0.157,0.169]	786	-0.0022498727735368955	-0.26616836146017253	beta~GIANT	-0.26616836146017253	0.07	0.16
giant	(0.0618,0.0765]	(0.169,0.185]	489	-0.0012914110429447852	-0.13418807035021724	beta~GIANT	-0.13418807035021724	0.07	0.18
giant	(0.0618,0.0765]	(0.185,0.202]	253	-0.0020142292490118578	-0.23372022089041028	beta~GIANT	NA	0.07	0.19
giant	(0.0618,0.0765]	(0.202,0.219]	119	-0.0071092436974789916	-0.9353042994771531	beta~GIANT	NA	0.07	0.21
giant	(0.0618,0.0765]	(0.219,0.23]	24	7.958333333333335e-4	0.15322572156886388	beta~GIANT	NA	0.07	0.22
giant	(0.0618,0.0765]	(0.23,0.25]	7	0.002071428571428571	0.3288753333256925	beta~GIANT	NA	0.07	0.24
giant	(0.0618,0.0765]	(0.25,0.265]	6	-0.005883333333333333	-0.7664963006072322	beta~GIANT	NA	0.07	0.26
giant	(0.0618,0.0765]	(0.265,0.281]	4	-0.0155	-2.0907124123866643	beta~GIANT	NA	0.07	0.27
giant	(0.0765,0.0899]	[0,0.0459]	10573	6.577035846022888e-4	0.13420523919946764	beta~GIANT	0.13420523919946764	0.08	0.02
giant	(0.0765,0.0899]	(0.0459,0.0618]	12204	-2.3691412651589643e-4	0.011016276952056342	beta~GIANT	0.011016276952056342	0.08	0.05
giant	(0.0765,0.0899]	(0.0618,0.0765]	15755	-3.5559504919073314e-4	-0.005326099820928171	beta~GIANT	-0.005326099820928171	0.08	0.07
giant	(0.0765,0.0899]	(0.0765,0.0899]	10492	-9.256957682043462e-4	-0.08382903473824518	beta~GIANT	-0.08382903473824518	0.08	0.08
giant	(0.0765,0.0899]	(0.0899,0.101]	9457	-0.001128042719678545	-0.11169223334950186	beta~GIANT	-0.11169223334950186	0.08	0.1
giant	(0.0765,0.0899]	(0.101,0.112]	12112	-0.0012911905548216645	-0.13415770911017294	beta~GIANT	-0.13415770911017294	0.08	0.11
giant	(0.0765,0.0899]	(0.112,0.129]	9273	-0.0010623207160573708	-0.1026423058527686	beta~GIANT	-0.1026423058527686	0.08	0.12
giant	(0.0765,0.0899]	(0.129,0.143]	6110	-0.0017275286415711947	-0.19424151410047516	beta~GIANT	-0.19424151410047516	0.08	0.14
