nam1	clump	country	mn	se	count	latitude	latrank	totcount	nam2	rank_set11	rank_set6	rank_set6_2	nam3	nam4	nam5	nam_set4	se2
famest	all 0.01	Austria	0.28122464025302174	0.16221465859877193	14	47.5	11	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.05665675078399786
famest	all 0.01	Belgium	0.5878306171503942	0.08770537498848868	43	50.5	13	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.032739776509626055
famest	all 0.01	Czech Republic	0.5366951130226665	0.1643624032739233	11	49.8	12	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.06404824871889507
famest	all 0.01	France	0.08364577177013864	0.06045019245589262	92	46.2	6	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.022434903886197757
famest	all 0.01	Germany	0.6890106520179019	0.08061294178293806	75	51.1	14	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.024868665003612202
famest	all 0.01	Hungary	0.10450282970544761	0.1108539372159421	19	47.1	9	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.04927916388792289
famest	all 0.01	Ireland	1.205988699118059	0.0687739440190832	62	53.1	17	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.027390593875306207
famest	all 0.01	Italy	-1.696146601948604	0.056505300170504924	225	41.8	3	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.014280789483244832
famest	all 0.01	Netherlands	1.1984452690037244	0.1583122401902656	17	52.1	16	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.051793165305499364
famest	all 0.01	Poland	0.8806853928508926	0.12182899535559197	22	51.9	15	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.045640588024264094
famest	all 0.01	Portugal	-0.7005881007569358	0.04740802095438515	135	39.3	1	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.018556345919878432
famest	all 0.01	Romania	-0.45559314275295354	0.15893392298473757	14	45.9	5	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.05696301333632455
famest	all 0.01	Spain	-0.5519984657741154	0.048190297038898336	137	40.4	2	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.018416615943719624
famest	all 0.01	Sweden	1.2863375131906236	0.233978074134814	11	60.1	19	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.063992449641595
famest	all 0.01	Swiss-French	-0.010337740153912025	0.021675077528429766	760	46.5	7	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.00782118383554704
