country	latitude	latrank	latrank2
Austria	47.5	13	50.50909090909091
Belgium	50.5	16	53.38636363636364
Bosnia-Herzegovina	43.9	6	43.79545454545455
Croatia	45.1	7	44.75454545454546
Czech Republic	49.8	15	52.42727272727273
France	46.2	9	46.67272727272727
Germany	51.1	17	54.345454545454544
Greece	39	1	39
Hungary	47.1	12	49.55
Ireland	53.1	20	57.22272727272727
Italy	41.8	4	41.877272727272725
Netherlands	52.1	19	56.263636363636365
Poland	51.9	18	55.30454545454546
Portugal	39.3	2	39.95909090909091
Romania	45.9	8	45.71363636363637
Spain	40.4	3	40.91818181818182
Sweden	60.1	22	59.14090909090909
Swiss-French	46.5	10	47.63181818181818
Swiss-German	48.95	14	51.46818181818182
Switzerland	46.8	11	48.59090909090909
United Kingdom	55.3	21	58.18181818181819
Yugoslavia	43.9	5	42.836363636363636
